date,department_id,equipment_type,total_units,units_in_use,utilization_pct
2020-01-01,1,MRI,7,5,71.43
2020-01-01,1,CT Scanner,10,10,100.0
2020-01-01,1,X-Ray,5,5,100.0
2020-01-01,1,Ventilator,4,0,0.0
2020-01-01,1,Ultrasound,5,1,20.0
2020-01-01,1,ECG,7,3,42.86
2020-01-01,2,MRI,10,7,70.0
2020-01-01,2,CT Scanner,4,2,50.0
2020-01-01,2,X-Ray,4,0,0.0
2020-01-01,2,Ventilator,8,7,87.5
2020-01-01,2,Ultrasound,2,1,50.0
2020-01-01,2,ECG,8,4,50.0
2020-01-01,3,MRI,1,1,100.0
2020-01-01,3,CT Scanner,1,0,0.0
2020-01-01,3,X-Ray,5,1,20.0
2020-01-01,3,Ventilator,1,1,100.0
2020-01-01,3,Ultrasound,1,0,0.0
2020-01-01,3,ECG,6,2,33.33
2020-01-01,4,MRI,9,6,66.67
2020-01-01,4,CT Scanner,9,2,22.22
2020-01-01,4,X-Ray,10,10,100.0
2020-01-01,4,Ventilator,7,2,28.57
2020-01-01,4,Ultrasound,9,4,44.44
2020-01-01,4,ECG,8,8,100.0
2020-01-01,5,MRI,3,2,66.67
2020-01-01,5,CT Scanner,8,3,37.5
2020-01-01,5,X-Ray,4,3,75.0
2020-01-01,5,Ventilator,5,0,0.0
2020-01-01,5,Ultrasound,8,7,87.5
2020-01-01,5,ECG,7,1,14.29
2020-01-01,6,MRI,4,2,50.0
2020-01-01,6,CT Scanner,8,5,62.5
2020-01-01,6,X-Ray,7,5,71.43
2020-01-01,6,Ventilator,10,10,100.0
2020-01-01,6,Ultrasound,10,1,10.0
2020-01-01,6,ECG,10,7,70.0
2020-01-01,7,MRI,9,3,33.33
2020-01-01,7,CT Scanner,5,5,100.0
2020-01-01,7,X-Ray,5,3,60.0
2020-01-01,7,Ventilator,4,0,0.0
2020-01-01,7,Ultrasound,3,0,0.0
2020-01-01,7,ECG,2,0,0.0
2020-01-01,8,MRI,2,1,50.0
2020-01-01,8,CT Scanner,4,0,0.0
2020-01-01,8,X-Ray,1,0,0.0
2020-01-01,8,Ventilator,3,0,0.0
2020-01-01,8,Ultrasound,6,6,100.0
2020-01-01,8,ECG,1,1,100.0
2020-01-01,9,MRI,9,5,55.56
2020-01-01,9,CT Scanner,8,0,0.0
2020-01-01,9,X-Ray,7,0,0.0
2020-01-01,9,Ventilator,7,2,28.57
2020-01-01,9,Ultrasound,7,4,57.14
2020-01-01,9,ECG,5,1,20.0
2020-01-01,10,MRI,5,3,60.0
2020-01-01,10,CT Scanner,3,3,100.0
2020-01-01,10,X-Ray,6,2,33.33
2020-01-01,10,Ventilator,1,1,100.0
2020-01-01,10,Ultrasound,7,3,42.86
2020-01-01,10,ECG,8,6,75.0
2020-01-01,11,MRI,6,3,50.0
2020-01-01,11,CT Scanner,2,2,100.0
2020-01-01,11,X-Ray,1,0,0.0
2020-01-01,11,Ventilator,9,3,33.33
2020-01-01,11,Ultrasound,1,0,0.0
2020-01-01,11,ECG,1,0,0.0
2020-01-01,12,MRI,10,10,100.0
2020-01-01,12,CT Scanner,7,4,57.14
2020-01-01,12,X-Ray,6,6,100.0
2020-01-01,12,Ventilator,7,1,14.29
2020-01-01,12,Ultrasound,1,0,0.0
2020-01-01,12,ECG,9,3,33.33
2020-01-01,13,MRI,6,4,66.67
2020-01-01,13,CT Scanner,8,4,50.0
2020-01-01,13,X-Ray,2,1,50.0
2020-01-01,13,Ventilator,7,5,71.43
2020-01-01,13,Ultrasound,10,6,60.0
2020-01-01,13,ECG,6,2,33.33
2020-01-01,14,MRI,6,6,100.0
2020-01-01,14,CT Scanner,3,3,100.0
2020-01-01,14,X-Ray,1,0,0.0
2020-01-01,14,Ventilator,10,9,90.0
2020-01-01,14,Ultrasound,7,4,57.14
2020-01-01,14,ECG,2,0,0.0
2020-01-01,15,MRI,7,7,100.0
2020-01-01,15,CT Scanner,5,0,0.0
2020-01-01,15,X-Ray,2,2,100.0
2020-01-01,15,Ventilator,10,6,60.0
2020-01-01,15,Ultrasound,1,1,100.0
2020-01-01,15,ECG,5,3,60.0
2020-01-01,16,MRI,6,4,66.67
2020-01-01,16,CT Scanner,6,5,83.33
2020-01-01,16,X-Ray,5,1,20.0
2020-01-01,16,Ventilator,3,2,66.67
2020-01-01,16,Ultrasound,2,0,0.0
2020-01-01,16,ECG,9,4,44.44
2020-01-01,17,MRI,10,8,80.0
2020-01-01,17,CT Scanner,3,2,66.67
2020-01-01,17,X-Ray,5,0,0.0
2020-01-01,17,Ventilator,7,2,28.57
2020-01-01,17,Ultrasound,10,3,30.0
2020-01-01,17,ECG,2,0,0.0
2020-01-01,18,MRI,4,4,100.0
2020-01-01,18,CT Scanner,2,1,50.0
2020-01-01,18,X-Ray,6,5,83.33
2020-01-01,18,Ventilator,8,7,87.5
2020-01-01,18,Ultrasound,9,1,11.11
2020-01-01,18,ECG,9,5,55.56
2020-01-01,19,MRI,4,4,100.0
2020-01-01,19,CT Scanner,3,2,66.67
2020-01-01,19,X-Ray,8,5,62.5
2020-01-01,19,Ventilator,4,4,100.0
2020-01-01,19,Ultrasound,8,8,100.0
2020-01-01,19,ECG,8,3,37.5
2020-01-01,20,MRI,9,8,88.89
2020-01-01,20,CT Scanner,4,4,100.0
2020-01-01,20,X-Ray,9,0,0.0
2020-01-01,20,Ventilator,5,2,40.0
2020-01-01,20,Ultrasound,4,4,100.0
2020-01-01,20,ECG,1,1,100.0
2020-01-01,21,MRI,4,3,75.0
2020-01-01,21,CT Scanner,4,2,50.0
2020-01-01,21,X-Ray,6,1,16.67
2020-01-01,21,Ventilator,3,3,100.0
2020-01-01,21,Ultrasound,1,0,0.0
2020-01-01,21,ECG,10,0,0.0
2020-01-01,22,MRI,1,1,100.0
2020-01-01,22,CT Scanner,4,1,25.0
2020-01-01,22,X-Ray,6,6,100.0
